sample_id,pop
coarNOTs_7726-21,NOT_fall
coarNOTs_7727-21,NOT_fall
coarNOTs_7728-21,NOT_fall
coarNOTs_7729-21,NOT_fall
coarNOTs_7730-21,NOT_fall
coarNOTs_7731-21,NOT_fall
coarNOTs_7732-21,NOT_fall
coarNOTs_7733-21,NOT_fall
coarNOTs_7734-21,NOT_fall
coarNOTs_7735-21,NOT_fall
coarNOTs_7736-21,NOT_fall
coarNOTs_7737-21,NOT_fall
coarNOTs_7738-21,NOT_fall
coarNOTs_7739-21,NOT_fall
coarNOTs_7740-21,NOT_fall
coarNOTs_7741-21,NOT_fall
coarNOTs_7742-21,NOT_fall
coarNOTs_7743-21,NOT_fall
coarNOTs_7744-21,NOT_fall
coarNOTs_7745-21,NOT_fall
coarNOTs_7746-21,NOT_fall
coarNOTs_7747-21,NOT_fall
coarNOTs_7748-21,NOT_fall
coarNOTs_7749-21,NOT_fall
coarNOTs_7750-21,NOT_fall
coarNOTs_7751-21,NOT_fall
coarNOTs_7752-21,NOT_fall
coarNOTs_7753-21,NOT_fall
coarNOTs_7754-21,NOT_fall
coarNOTs_7755-21,NOT_fall
coarNOTs_7756-21,NOT_fall
coarNOTs_7757-21,NOT_fall
coarNOTs_7758-21,NOT_fall
coarNOTs_7759-21,NOT_fall
coarNOTs_7760-21,NOT_fall
coarNOTs_7761-21,NOT_fall
coarNOTs_7762-21,NOT_fall
coclLAGs_022-20,LAG
coclLAGs_022-20,LAG
coclLAGs_023-20,LAG
coclLAGs_024-20,LAG
coclLAGs_025-20,LAG
coclLAGs_026-20,LAG
coclLAGs_027-20,LAG
coclLAGs_028-20,LAG
coclLAGs_029-20,LAG
coclLAGs_030-20,LAG
coclEASs_634-22,EAS
coclEASs_640-22,EAS
coclEASs_735-22,EAS
coclEASs_738-22,EAS
coclEASs_778-22,EAS
coclROGs_2001-21,ROG
coclROGs_2004-21,ROG
coclROGs_2008-21,ROG
coclLAGs_2842_22,LAG
coarEASs_638-22,EAS
coarEASs_643-22,EAS
coarEASs_645-22,EAS
coarEASs_646-22,EAS
coarEASs_647-22,EAS
coarEASs_649-22,EAS
coarEASs_650-22,EAS
coarEASs_685-22,EAS
coarEASs_686-22,EAS
coarEASs_687-22,EAS
coarEASs_687-22,EAS
coarEASs_689-22,EAS
coarEASs_704-22,EAS
coarEASs_705-22,EAS
coarEASs_706-22,EAS
coarEASs_708-22,EAS
coarEASs_710-22,EAS
coarEASs_711-22,EAS
coarEASs_712-22,EAS
coarEASs_713-22,EAS
coarEASs_714-22,EAS
coarEASs_715-22,EAS
coarEASs_716-22,EAS
coarEASs_717-22,EAS
coarEASs_718-22,EAS
coarEASs_720-22,EAS
coarEASs_722-22,EAS
coarEASs_723-22,EAS
coarEASs_724-22,EAS
coarEASs_728-22,EAS
coarEASs_729-22,EAS
coarEASs_731-22,EAS
coarEASs_732-22,EAS
coarEASs_733-22,EAS
coarEASs_734-22,EAS
coarFISs_001-22,FIS
coarFISs_010-22,FIS
coarFISs_011-22,FIS
coarFISs_012-22,FIS
coarFISs_013-22,FIS
coarFISs_014-22,FIS
coarFISs_015-22,FIS
coarFISs_016-22,FIS
coarFISs_017-22,FIS
coarFISs_018-22,FIS
coarFISs_019-22,FIS
coarFISs_002-22,FIS
coarFISs_020-22,FIS
coarFISs_003-22,FIS
coarFISs_004-22,FIS
coarFISs_005-22,FIS
coarFISs_006-22,FIS
coarFISs_007-22,FIS
coarFISs_008-22,FIS
coarFISs_009-22,FIS
