sample	GenotypeRate	Heterozygosity	conScore
199	coarCHIm.5086.21	0.857442348008386	0.00419287211740042	0
200	coarCHIm.5087.21	0.888888888888889	0.00838574423480084	0
201	coarCHIm.5088.21	0.907756813417191	0.0146750524109015	0
202	coarCHIm.5089.21	0.905660377358491	0.00838574423480084	0
203	coarCHIm.5090.21	0.878406708595388	0.00419287211740042	0
204	coarCHIm.5091.21	0.878406708595388	0.00838574423480084	0
205	coarCHIm.5092.21	0.895178197064989	0.0125786163522013	0
206	coarCHIm.5093.21	0.895178197064989	0.00838574423480084	0
207	coarCHIm.5094.21	0.867924528301887	0.010482180293501	0
208	coarCHIm.5095.21	0.851153039832285	0.00419287211740042	0
209	coarCHIm.5096.21	0.880503144654088	0.00628930817610063	0
210	coarCHIm.5097.21	0.876310272536688	0.00209643605870021	0
211	coarCHIm.5098.21	0.861635220125786	0.010482180293501	0
212	coarCHIm.5099.21	0.861635220125786	0.00628930817610063	0
213	coarCHIm.9491.23	0.80083857442348	0.00419287211740042	0
214	coarCHIm.9492.23	0.857442348008386	0.00628930817610063	0
215	coarCHIm.9493.23	0.855345911949686	0.00838574423480084	0
216	coarCHIm.9494.23	0	0	NA
217	coarCHIm.9495.23	0.857442348008386	0.00209643605870021	0
218	coarCHIm.9496.23	0.828092243186583	0.0146750524109015	0
219	coarCHIm.9497.23	0.834381551362683	0.00419287211740042	0
220	coarCHIm.9498.23	0.832285115303983	0.010482180293501	0
221	coarCHIm.9499.23	0.886792452830189	0.00419287211740042	0
222	coarCHIm.9500.23	0.888888888888889	0.00838574423480084	0
223	coarCHIm.9501.23	0.867924528301887	0.0125786163522013	0
224	coarCHIm.9502.23	0.836477987421384	0.00838574423480084	0
225	coarCHIm.9503.23	0.865828092243187	0.00419287211740042	0
226	coarCHIm.9504.23	0.838574423480084	0.00838574423480084	0
227	coarCHIm.9505.23	0.809224318658281	0.0125786163522013	0
228	coarCHIm.9506.23	0.853249475890985	0.010482180293501	0
229	coarCHIm.9507.23	0.832285115303983	0.00419287211740042	0
230	coarCHIm.9508.23	0.815513626834382	0.00419287211740042	0
231	coarCHIm.9509.23	0.823899371069182	0.00838574423480084	0
232	coarCHIm.9510.23	0.821802935010482	0.00628930817610063	0
233	coarCHIm.9511.23	0	0	NA
234	coarCHIm.9512.23	0.918238993710692	0.00628930817610063	0.333333333333333
235	coarCHIm.9513.23	0.878406708595388	0.00628930817610063	0
236	coarCHIm.9514.23	0.886792452830189	0.00419287211740042	0
237	coarCHIm.9515.23	0.863731656184486	0.00628930817610063	0
238	coarCHIm.M10.23	0.851153039832285	0.00419287211740042	0
239	coarCHIm.M11.23	0	0	NA
240	coarCHIm.M12.23	0.865828092243187	0.010482180293501	0
241	coarCHIm.M13.23	0.89727463312369	0.00419287211740042	0
242	coarCHIm.M14.23	0.895178197064989	0.00628930817610063	0
243	coarCHIm.M15.23	0.905660377358491	0.00628930817610063	0
244	coarCHIm.M16.23	0.89727463312369	0.00628930817610063	0.333333333333333
245	coarCHIm.M17.23	0.895178197064989	0.00419287211740042	0
246	coarCHIm.M18.23	0.89727463312369	0.00419287211740042	0.5
247	coarCHIm.M19.23	0.893081761006289	0.010482180293501	0
248	coarCHIm.M20.23	0.905660377358491	0.00628930817610063	0.333333333333333
249	coarCHIm.M21.23	0.90356394129979	0.010482180293501	0
250	coarCHIm.M22.23	0	0	NA
251	coarCHIm.M23.23	0.905660377358491	0.00838574423480084	0
252	coarCHIm.M24.23	0.911949685534591	0.010482180293501	0
253	coarCHIm.M25.23	0.907756813417191	0.010482180293501	0.2
254	coarCHIm.M26.23	0.89727463312369	0.00838574423480084	0.25
255	coarCHIm.M27.23	0.849056603773585	0.00838574423480084	0
256	coarCHIm.M28.23	0.840670859538784	0.00628930817610063	0
