Sample	Total Reads	Off-target Reads	Primer Only Reads	Primer Probe Reads	Off-target Proportion	Primer Only Proportion	Primer Probe Proportion
coarCHIm-M41-23	18257	2201	6242	9814	0.12	0.34	0.54
coarCHIm-M42-23	14623	1966	5046	7611	0.13	0.35	0.52
coarCHIm-M43-23	11703	1850	4564	5289	0.16	0.39	0.45
coarCHIm-M44-23	11702	1633	4140	5929	0.14	0.35	0.51
coarCHIm-M45-23	13089	1611	4505	6973	0.12	0.34	0.53
coarCHIm-M46-23	15481	1919	5229	8333	0.12	0.34	0.54
coarCHIm-M47-23	11397	1659	4168	5570	0.15	0.37	0.49
coarCHIm-M48-23	11240	1648	4100	5492	0.15	0.36	0.49
coarCHIm-M49-23	22576	2953	8742	10881	0.13	0.39	0.48
coarCHIm-M50-23	17765	2657	7194	7914	0.15	0.40	0.45
coarCHIm-M51-23	12567	1797	4556	6214	0.14	0.36	0.49
coarCHIm-M52-23	12846	1818	4587	6441	0.14	0.36	0.50
coarCHIm-M53-23	14833	1897	5049	7887	0.13	0.34	0.53
coarCHIm-M54-23	12791	1761	4699	6331	0.14	0.37	0.49
coarCHIm-M55-23	11926	1775	4319	5832	0.15	0.36	0.49
coarCHIm-M56-23	12361	1692	4374	6295	0.14	0.35	0.51
coarCHIm-M57-23	15199	2178	5838	7183	0.14	0.38	0.47
coarCHIm-M58-23	7638	1158	2959	3521	0.15	0.39	0.46
coarCHIm-M59-23	12828	1907	4625	6296	0.15	0.36	0.49
coarCHIm-M60-23	11571	1568	3992	6011	0.14	0.35	0.52
coarCHIm-M61-23	22822	2900	8350	11572	0.13	0.37	0.51
coarCHIm-M62-23	19095	2664	7851	8580	0.14	0.41	0.45
coarCHIm-M6-23	14489	1845	5117	7527	0.13	0.35	0.52
coarCHIm-M63-23	13100	1868	4845	6387	0.14	0.37	0.49
coarCHIm-M64-23	16002	2661	6867	6474	0.17	0.43	0.40
coarCHIm-M65-23	13415	1955	4954	6506	0.15	0.37	0.48
