Sample	Total Reads	Off-target Reads	Primer Only Reads	Primer Probe Reads	Off-target Proportion	Primer Only Proportion	Primer Probe Proportion
02_input_files/coarCHIm-2823-21_S227_L001_R1_001	16241	1802	4420	10019	0.11	0.27	0.62
02_input_files/coarCHIm-2824-21_S228_L001_R1_001	20016	2033	6037	11946	0.10	0.30	0.60
02_input_files/coarCHIm-2825-21_S229_L001_R1_001	38083	3372	12026	22685	0.09	0.32	0.60
02_input_files/coarCHIm-4901-21_S316_L001_R1_001	10938	1291	3819	5828	0.12	0.35	0.53
02_input_files/coarCHIm-4902-21_S317_L001_R1_001	10391	1219	3352	5820	0.12	0.32	0.56
02_input_files/coarCHIm-4903-21_S318_L001_R1_001	10990	1247	3548	6195	0.11	0.32	0.56
02_input_files/coarCHIm-4904-21_S319_L001_R1_001	10828	1194	3456	6178	0.11	0.32	0.57
02_input_files/coarCHIm-4905-21_S320_L001_R1_001	10611	1297	3383	5931	0.12	0.32	0.56
02_input_files/coarCHIm-4906-21_S321_L001_R1_001	10646	1302	3563	5781	0.12	0.33	0.54
02_input_files/coarCHIm-4907-21_S322_L001_R1_001	10933	1309	3770	5854	0.12	0.34	0.54
02_input_files/coarCHIm-4908-21_S323_L001_R1_001	9157	1230	3215	4712	0.13	0.35	0.51
02_input_files/coarCHIm-4909-21_S324_L001_R1_001	15273	1854	5359	8060	0.12	0.35	0.53
02_input_files/coarCHIm-4910-21_S325_L001_R1_001	25779	8731	17045	3	0.34	0.66	0.00
02_input_files/coarCHIm-4911-21_S326_L001_R1_001	19506	6476	13030	0	0.33	0.67	0.00
02_input_files/coarCHIm-4912-21_S327_L001_R1_001	21262	6968	14292	2	0.33	0.67	0.00
02_input_files/coarCHIm-4913-21_S328_L001_R1_001	21892	7180	14712	0	0.33	0.67	0.00
02_input_files/coarCHIm-4914-21_S329_L001_R1_001	19389	6280	13108	1	0.32	0.68	0.00
02_input_files/coarCHIm-4915-21_S330_L001_R1_001	15073	4991	10082	0	0.33	0.67	0.00
02_input_files/coarCHIm-4916-21_S331_L001_R1_001	19251	6415	12832	4	0.33	0.67	0.00
02_input_files/coarCHIm-4917-21_S289_L001_R1_001	184048	23735	92961	67352	0.13	0.51	0.37
02_input_files/coarCHIm-4918-21_S290_L001_R1_001	87379	8296	33040	46043	0.09	0.38	0.53
02_input_files/coarCHIm-4919-21_S291_L001_R1_001	56064	5165	18652	32247	0.09	0.33	0.58
02_input_files/coarCHIm-4920-21_S292_L001_R1_001	55094	5574	20094	29426	0.10	0.36	0.53
02_input_files/coarCHIm-4921-21_S293_L001_R1_001	60264	6187	20826	33251	0.10	0.35	0.55
02_input_files/coarCHIm-4922-21_S294_L001_R1_001	64001	6111	22881	35009	0.10	0.36	0.55
02_input_files/coarCHIm-4923-21_S295_L001_R1_001	45198	4046	14355	26797	0.09	0.32	0.59
02_input_files/coarCHIm-4924-21_S296_L001_R1_001	55499	6340	19781	29378	0.11	0.36	0.53
02_input_files/coarCHIm-4925-21_S297_L001_R1_001	57375	6047	20500	30828	0.11	0.36	0.54
02_input_files/coarCHIm-4976-21_S298_L001_R1_001	52934	4958	17997	29979	0.09	0.34	0.57
02_input_files/coarCHIm-4977-21_S299_L001_R1_001	78011	6037	25273	46701	0.08	0.32	0.60
02_input_files/coarCHIm-4978-21_S300_L001_R1_001	115753	12387	54324	49042	0.11	0.47	0.42
02_input_files/coarCHIm-4979-21_S301_L001_R1_001	37051	3008	9857	24186	0.08	0.27	0.65
02_input_files/coarCHIm-4980-21_S302_L001_R1_001	28280	2742	8139	17399	0.10	0.29	0.62
02_input_files/coarCHIm-4981-21_S303_L001_R1_001	25839	3070	8093	14676	0.12	0.31	0.57
02_input_files/coarCHIm-4982-21_S304_L001_R1_001	25281	2653	7371	15257	0.10	0.29	0.60
02_input_files/coarCHIm-4983-21_S305_L001_R1_001	30042	3038	8725	18279	0.10	0.29	0.61
02_input_files/coarCHIm-4984-21_S306_L001_R1_001	21925	2058	6049	13818	0.09	0.28	0.63
02_input_files/coarCHIm-4985-21_S307_L001_R1_001	20084	2340	5942	11802	0.12	0.30	0.59
02_input_files/coarCHIm-4986-21_S308_L001_R1_001	21887	2411	6252	13224	0.11	0.29	0.60
02_input_files/coarCHIm-4987-21_S309_L001_R1_001	28507	3463	9425	15619	0.12	0.33	0.55
02_input_files/coarCHIm-4988-21_S310_L001_R1_001	20317	2144	6290	11883	0.11	0.31	0.58
02_input_files/coarCHIm-4989-21_S311_L001_R1_001	23620	2779	7295	13546	0.12	0.31	0.57
02_input_files/coarCHIm-4990-21_S312_L001_R1_001	44067	4412	14104	25551	0.10	0.32	0.58
02_input_files/coarCHIm-4991-21_S313_L001_R1_001	21639	1879	5347	14413	0.09	0.25	0.67
02_input_files/coarCHIm-4992-21_S314_L001_R1_001	23321	2578	7031	13712	0.11	0.30	0.59
02_input_files/coarCHIm-4993-21_S315_L001_R1_001	24510	2470	7228	14812	0.10	0.29	0.60
02_input_files/coarCHIm-4994-21_S316_L001_R1_001	23977	2592	7204	14181	0.11	0.30	0.59
02_input_files/coarCHIm-4995-21_S317_L001_R1_001	23428	2531	6862	14035	0.11	0.29	0.60
02_input_files/coarCHIm-4996-21_S318_L001_R1_001	20968	2556	6884	11528	0.12	0.33	0.55
02_input_files/coarCHIm-4997-21_S319_L001_R1_001	19021	2028	5332	11661	0.11	0.28	0.61
02_input_files/coarCHIm-4998-21_S320_L001_R1_001	23675	2001	6053	15621	0.08	0.26	0.66
02_input_files/coarCHIm-4999-21_S321_L001_R1_001	21891	2612	6784	12495	0.12	0.31	0.57
02_input_files/coarCHIm-5000-21_S322_L001_R1_001	15239	1820	4477	8942	0.12	0.29	0.59
02_input_files/coarCHIm-5026-21_S323_L001_R1_001	25506	2950	8786	13770	0.12	0.34	0.54
02_input_files/coarCHIm-5027-21_S324_L001_R1_001	27082	2915	8582	15585	0.11	0.32	0.58
02_input_files/coarCHIm-5028-21_S325_L001_R1_001	32905	3059	10266	19580	0.09	0.31	0.60
02_input_files/coarCHIm-5029-21_S326_L001_R1_001	23764	2783	7364	13617	0.12	0.31	0.57
02_input_files/coarCHIm-5030-21_S327_L001_R1_001	24658	2760	7563	14335	0.11	0.31	0.58
02_input_files/coarCHIm-5031-21_S328_L001_R1_001	20077	2453	6731	10893	0.12	0.34	0.54
02_input_files/coarCHIm-5032-21_S329_L001_R1_001	38281	2811	9918	25552	0.07	0.26	0.67
